u,mu,t,i,ev,obs,val_re,val_im
1.0,0.0,0.075,3,1,â,4.407259416464609e-8,0.0
1.0,0.0,0.075,3,1,n̂,0.6635439466479591,0.0
1.0,0.0,0.075,4,1,â⁺,-9.265405776674612e-7,0.0
1.0,0.0,0.075,4,1,â,-9.265405776674612e-7,0.0
1.0,0.0,0.075,4,1,n̂,0.6157567164707336,0.0
1.0,0.0,0.075,5,1,â⁺,-1.214715014460941e-6,0.0
1.0,0.0,0.075,5,1,â,-1.214715014460941e-6,0.0
1.0,0.0,0.075,5,1,n̂,0.6157494725853645,0.0
1.0,0.0,0.075,6,1,â⁺,-2.557765728494589e-6,0.0
1.0,0.0,0.075,6,1,â,-2.55776572849459e-6,0.0
1.0,0.0,0.075,6,1,n̂,0.6635406648070042,0.0
1.0,0.0,0.075,7,1,â⁺,-2.648331014706542e-6,0.0
1.0,0.0,0.075,7,1,â,-2.648331014706542e-6,0.0
1.0,0.0,0.075,7,1,n̂,0.580660765903507,0.0
1.0,0.0,0.075,8,1,â⁺,-9.877722435945565e-7,0.0
1.0,0.0,0.075,8,1,â,-9.877722435945565e-7,0.0
1.0,0.0,0.075,8,1,n̂,0.6400332050842181,0.0
1.0,0.0,0.0875,1,1,â⁺,7.541496814392628e-8,0.0
1.0,0.0,0.0875,1,1,â,7.541496814392628e-8,0.0
1.0,0.0,0.0875,1,1,n̂,0.6272252899646682,0.0
1.0,0.0,0.0875,2,1,â⁺,3.2752841722700456e-8,0.0
1.0,0.0,0.0875,2,1,â,3.2752841722700456e-8,0.0
1.0,0.0,0.0875,2,1,n̂,0.5891444400420445,0.0
1.0,0.0,0.0875,3,1,â⁺,-2.1180907246572267e-8,0.0
1.0,0.0,0.0875,3,1,â,-2.1180907246572267e-8,0.0
1.0,0.0,0.0875,3,1,n̂,0.6636385778767193,0.0
1.0,0.0,0.0875,4,1,â⁺,-5.6272717536809694e-8,0.0
1.0,0.0,0.0875,4,1,â,-5.6272717536809694e-8,0.0
1.0,0.0,0.0875,4,1,n̂,0.6199921718502267,0.0
1.0,0.0,0.0875,5,1,â⁺,-7.012624386432449e-8,0.0
1.0,0.0,0.0875,5,1,â,-7.012624386432449e-8,0.0
1.0,0.0,0.0875,5,1,n̂,0.6199919905304228,0.0
1.0,0.0,0.0875,6,1,â⁺,-1.0543141509404404e-7,0.0
1.0,0.0,0.0875,6,1,â,-1.0543141509404404e-7,0.0
1.0,0.0,0.0875,6,1,n̂,0.6636385022389885,0.0
1.0,0.0,0.0875,7,1,â⁺,-1.15583714823079e-7,0.0
1.0,0.0,0.0875,7,1,â,-1.1558371482307901e-7,0.0
1.0,0.0,0.0875,7,1,n̂,0.5891442936171158,0.0
1.0,0.0,0.0875,8,1,â⁺,-5.3784970714170336e-8,0.0
1.0,0.0,0.0875,8,1,â,-5.3784970714170336e-8,0.0
1.0,0.0,0.0875,8,1,n̂,0.6272247338801891,0.0
1.0,0.0,0.1,1,1,â⁺,-2.9891152081577645e-8,0.0
1.0,0.0,0.1,1,1,â,-2.9891152081577645e-8,0.0
